Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
J. Jefferson,MIN,1,489,1,461,4,20.70%,5,18.80%,184,1809,1,1916,8,20,70%,0,Apr-49
S. Diggs,BUF,2,434,2,436,3,22.30%,2,22.40%,154,1429,3,1652,11,16,70%,1,Mar-55
J. Waddle,MIA,3,397,3,413,1,30.80%,1,32.50%,117,1356,7,1326,8,43,64%,1,Apr-96
T. Hill,MIA,4,388,4,403,14,15.50%,9,16.60%,170,1710,2,1693,7,17,70%,1,5/130
C. Lamb,DAL,5,314,6,318,17,12.60%,19,12.90%,156,1359,5,1474,9,23,69%,0,Feb-48
T. McLaurin,WAS,6,309,5,322,5,20.00%,4,21.40%,120,1191,11,1227,5,42,64%,0,Mar-53
A. Cooper,CLE,7,302,9,288,11,15.80%,17,14.50%,132,1160,9,1308,9,64,59%,0,Mar-70
D. Smith,PHI,8,280,8,292,15,14.70%,12,15.90%,136,1210,10,1245,7,18,70%,0,30-Jan
A. St. Brown,DET,9,274,13,257,22,11.00%,25,9.60%,146,1161,6,1347,6,10,73%,0,5-Jan
T. Higgins,CIN,10,274,11,266,6,18.90%,6,18.00%,109,1029,17,1110,7,26,68%,0,19-Feb
A. Brown,PHI,11,265,7,295,23,10.80%,18,13.50%,145,1496,8,1309,11,58,61%,2,24-Jan
B. Aiyuk,SF,12,262,10,268,9,16.40%,7,17.10%,114,1015,15,1118,8,24,68%,1,Apr-63
T. Lockett,SEA,13,257,12,263,13,15.60%,11,16.20%,117,1033,14,1121,9,12,72%,1,14-Jan
D. Adams,LV,14,236,17,220,35,4.00%,34,2.90%,180,1516,4,1501,14,78,56%,1,Apr-66
M. Evans,TB,15,236,14,249,26,9.70%,23,10.90%,127,1124,12,1209,6,60,61%,0,5/110
T. Boyd,CIN,16,234,15,225,2,23.50%,3,22.10%,82,762,30,872,5,14,71%,0,0/0
J. Jeudy,DEN,17,232,16,222,8,17.00%,14,15.70%,100,972,21,980,6,30,67%,0,Feb-47
M. Williams,LAC,18,219,18,217,7,17.40%,8,17.00%,93,895,25,918,4,28,68%,0,0/0
G. Pickens,PIT,19,194,21,172,12,15.70%,20,12.50%,84,801,32,842,4,54,62%,0,25-Apr
J. Chase,CIN,20,190,23,166,32,4.50%,37,2.30%,134,1046,13,1183,9,36,65%,2,Mar-61
J. Smith-Schuster,KC,21,185,19,196,24,10.60%,22,12.00%,101,933,24,921,3,3,77%,3,0/0
J. Meyers,NE,22,179,22,172,25,10.20%,26,9.20%,96,804,27,902,6,19,70%,1,Apr-65
C. Kirk,JAX,23,178,20,174,34,4.40%,31,4.10%,134,1099,16,1111,8,49,63%,1,0/0
